Year,Company/Brand,HeadQuarter,Sector,Amount($),Stage
2018,AgNext Technologies,Mohali,"Agriculture, Analytics, Big Data, Farming",1350000.0,Series A
2018,Pando,Chennai,"Logistics, Supply Chain Management",2000000.0,Seed
2018,Mintifi,Mumbai,"Financial Services, Lending",2000000.0,Seed
2018,Carcrew,Mumbai,"Automotive, Marketplace, Online Portals",2000000.0,Seed
2018,NicheAI,Hyderabad,Artificial Intelligence,1350000.0,Angel
2018,Chariot Tech,New Delhi,"Internet of Things, Telecommunications",1350000.0,Seed
2018,Ideal Insurance Brokers/ 121Policy.com,Kolkata,Insurance,1000000.0,Seed
2018,Loanzen,Bangalore,Financial Services,1350000.0,Seed
2018,Mojro Technologies,Bangalore,"Information Technology, Logistics, Supply Chain Management",650000.0,Seed
2018,Elemential,Mumbai,"Blockchain, Developer Tools, Enterprise Software",1000000.0,Seed
2018,Loadshare,Bangalore,"Industrial Automation, Logistics, Supply Chain Management",5000000.0,Series A
2018,Yumlane,Mumbai,"Food and Beverage, Food Delivery, Snack Food",4000000.0,Series A
2018,Kriger Campus,New Delhi,Education,1350000.0,Seed
2018,Pipa+Bella,Mumbai,"E-Commerce, Fashion, Jewelry, Retail",1000000.0,Series A
2018,Kaleidofin,Chennai,Financial Services,2800000.0,Seed
2018,Chakr Innovation,New Delhi,Renewable Energy,1350000.0,Seed
2018,IndigoLearn,Hyderabad,"E-Learning, Education",150000.0,Seed
2018,UClean,India,"Clean Energy, CleanTech, Laundry and Dry-cleaning",1350000.0,Seed
2018,Coutloot,Mumbai,"E-Commerce, Fashion, Mobile",1000000.0,Seed
2018,Letstrack,New Delhi,"Apps, Messaging, Navigation, Public Safety",1700000.0,Seed
2018,Pooltoo,New Delhi,Transportation,1350000.0,Seed
2018,Finzy,Bangalore,"Financial Services, Lending",1300000.0,Seed
2018,Fitternity,Mumbai,"Fitness, Health Care, Wellness",2000000.0,Seed
2018,Keito,Pune,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",1350000.0,Seed
2018,Tolet for Students,Jodhpur,Hospitality,1350000.0,Seed
2018,Chai Kings,Chennai,"Food and Beverage, Tea",1350000.0,Seed
2018,Dainik Jagran,Kanpur,"Media and Entertainment, News, Outdoors",1350000.0,Seed
2018,Playtoome,Bangalore,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",1350000.0,Seed
2018,ONGO Framework,Hyderabad,"B2B, Information Services, Information Technology",1000000.0,Angel
2018,Notesgen,New Delhi,"EdTech, Education, Enterprise Software, Peer to Peer",1350000.0,Seed
2018,Arogya MedTech,Kolkata,"Health Care, Medical",1350000.0,Seed
2018,Propshop24,Mumbai,E-Commerce,500000.0,Seed
2018,myUpchar,New Delhi,"Health Care, Hospital, Wellness",5000000.0,Series A
2018,MissMalini Entertainment,Mumbai,Unknown,1350000.0,Seed
2018,Rooter,India,Sports,1350000.0,Seed
2018,ZestMoney,Bangalore,"Big Data, Consumer Lending, FinTech",13400000.0,Series A
2018,alphaics Corporation,Bangalore,"Cloud Computing, Computer, Semiconductor",1350000.0,Seed
2018,MyDentistChoice,Hyderabad,"Health Care, Medical, Pharmaceutical",500000.0,Seed
2018,Sattviko,New Delhi,"Food Processing, Retail",1350000.0,Angel
2018,Sensibull,Bangalore,Trading Platform,1350000.0,Seed
2018,Bombay Shaving Company,New Delhi,"Consumer Goods, Lifestyle, Men's",1350000.0,Series A
2018,MedCords,Pune,Wellness,1350000.0,Seed
2018,University Living,New Delhi,Education,1350000.0,Seed
2018,&ME,Bangalore,"Food and Beverage, Food Processing, Nutrition",1350000.0,Seed
2018,Enakshi,Ahmedabad,Fashion,1350000.0,Seed
2018,Ultraviolette Automotive,Bangalore,"Automotive, Electric Vehicle, Energy Storage",1350000.0,Series A
2018,Inthree Access,Chennai,"Consulting, Retail, Social",4000000.0,Series A
2018,BUGWORKS Research India,Bangalore,"Biotechnology, Life Science, Pharmaceutical, Product Research",9000000.0,Series A
2018,Guardian.in,Mumbai,Health Care,1350000.0,Seed
2018,PrestLoans,New Delhi,"Credit, Financial Services, FinTech, Personal Finance",100000.0,Seed
2018,Wimoxez,Hyderabad,Internet,20000.0,Seed
2018,India Accelerator,Gurgaon,"Communities, Coworking, Incubators",1350000.0,Angel
2018,HappyEMI,Bangalore,"Consumer, Financial Services, FinTech",1000000.0,Seed
2018,Wishup,Azadpur,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",1350000.0,Seed
2018,Hansel.io,Bangalore,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",4000000.0,Series A
2018,Propelld,Bangalore,"Education, Financial Services, FinTech",250000.0,Seed
2018,PivotRoots,Mumbai,"Advertising, Consulting, Digital Marketing",1350000.0,Series A
2018,ZiffyHomes,New Delhi,"Marketplace, Real Estate, Rental Property",120000.0,Seed
2018,Carmesi,Gurgaon,Health Care,1350000.0,Seed
2018,OckyPocky,Haryana,"E-Learning, Internet, Video Games",1350000.0,Angel
2018,Racetrack,Bangalore,"Artificial Intelligence, Cloud Computing, Video",1350000.0,Seed
2018,WHR,Pune,"Health Care, Information Technology",1350000.0,Seed
2018,Asteria Aerospace,Bangalore,Aerospace,1350000.0,Seed
2018,FabAlley,Noida,"E-Commerce, Fashion, Lifestyle",1350000.0,Series B
2018,Tranzmeo,Cochin,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",1350000.0,Pre-seed
2018,SBI Life,Mumbai,Insurance,1350000.0,Equity
2018,Studds Accessories,Faridabad,E-Commerce,1350000.0,Equity
2018,Design Cafe,Bangalore,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",1350000.0,Series B
2018,NoPaperForms Solutions Pvt. Ltd.,New Delhi,"EdTech, Education, Information Services, SaaS",1350000.0,Series B
2018,Rays Power Infra,Jaipur,"Energy, Solar",1350000.0,Undisclosed
2018,AuthMetrik,Gurgaon,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",1350000.0,Grant
2018,Khidki,Bangalore,"Artificial Intelligence, Social",1350000.0,Seed
2018,LetsTransport,Bangalore,"Logistics, Transportation, Travel",1350000.0,Series B
2018,Next Digital Solutions,Kota,"Digital Marketing, SEM, SEO, Web Development",1350000.0,Angel
2018,Portea Medical,Bangalore,"Health Care, Hospital, Medical",1350000.0,Debt
2018,Aavas Financiers,Jaipur,"Finance, Financial Services",1350000.0,Debt
2018,Swiggy,Bangalore,"Food Delivery, Food Processing, Internet",1350000.0,Series H
2018,Milkbasket,Haryana,"E-Commerce, Food and Beverage, Internet",1350000.0,Series A
2018,Nutrisattva (Proliva),Anand,"Fitness, Food and Beverage, Health Care, Nutrition",1350000.0,Angel
2018,Toppr,Mumbai,"EdTech, Education, Knowledge Management",1350000.0,Series C
2018,Jagaran Microfin,Kolkata,Unknown,1350000.0,Debt
2018,Vivriti Capital,Chennai,Financial Services,1350000.0,Undisclosed
2018,Be U Salons,New Delhi,"Apps, Beauty, Consumer, Retail",1350000.0,Seed
2018,Impact Guru,Mumbai,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",1350000.0,Series A
2018,MobiKwik,Gurgaon,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",1350000.0,Series E
2018,Stones2Milestones,Gurgaon,"E-Learning, Education, Higher Education",1350000.0,Seed
2018,Generico,Mumbai,"Health Care, Medical, Pharmaceutical",1350000.0,Series A
2018,Adiuvo Diagnostics,Chennai,Health Diagnostics,1350000.0,Seed
2018,DataTrained,Bangalore,"EdTech, Education",1350000.0,Seed
2018,OneAssist,Mumbai,"Financial Services, SaaS, Security",1350000.0,Debt
2018,Satin Creditcare Network Limited (SCNL),New Delhi,"Banking, Finance, Financial Services, Non Profit",1350000.0,Debt
2018,APAC Financial Services,Mumbai,"Finance, Financial Services",1350000.0,Equity
2018,Moglix,Noida,"B2B, E-Commerce, Mobile",1350000.0,Series C
2018,SEDEMAC Mechatronics,Mumbai,"Automotive, Electric Vehicle, Renewable Energy",1350000.0,Undisclosed
2018,MadGuy Labs,Hyderabad,E-Learning,1350000.0,Undisclosed
2018,Dee Dee Labs,Pune,"Embedded Systems, Health Care, Medical, Product Research",1350000.0,Seed
2018,FLEECA,Jaipur,Unknown,1350000.0,Seed
2018,Shop101,Mumbai,"Apps, E-Commerce, Internet",1350000.0,Series B
2018,FeedMyPockets,Bangalore,"Advertising, Human Resources, Marketing",1350000.0,Seed
2018,Housejoy,Bangalore,"Beauty, Fitness, Home Services, Internet",1350000.0,Series B
2018,Ambee,Bangalore,"Health Care, Medical Device, Public Safety",1350000.0,Angel
2018,FoodBuddy,Belgaum,"Food Delivery, Online Portals, Restaurants",1350000.0,Seed
2018,Ninjacart,Bangalore,"AgTech, B2B, Supply Chain Management",1350000.0,Series B
2018,Olly Smart Credit Card,New Delhi,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",1350000.0,Seed
2018,Zestl,Pune,Software,1350000.0,Seed
2018,BYJU’S,Bangalore,"EdTech, Education, Higher Education, Secondary Education",1350000.0,Equity
2018,Wakefit,Bangalore,"Manufacturing, Retail",1350000.0,Undisclosed
2018,Hero Electric,New Delhi,Manufacturing,1350000.0,Undisclosed
2018,Pentation Analytics,Mumbai,"Information Services, Information Technology, InsurTech",1350000.0,Seed
2018,PerkFinance,Bangalore,"Consumer Lending, FinTech",1350000.0,Seed
2018,Roposo,Gurgaon,"Internet, Social Network, TV",1350000.0,Series C
2018,Plum Goodness,Thane,"Beauty, Health Care",1350000.0,Series A
2018,Drstore,Mumbai,Hospital,1350000.0,Seed
2018,Wow Venue,Mumbai,Events,1350000.0,Undisclosed
2018,Chizel,Pune,"3D Printing, Manufacturing, Product Design",1350000.0,Seed
2018,OTO Capital,Mumbai,Automotive,1350000.0,Seed
2018,Boodmo,Gurgaon,"Automotive, Retail",1350000.0,Seed
2018,Khabri,Haryana,"Apps, Audio",1350000.0,Seed
2018,MyNewCar.in,Gurgaon,"Automotive, E-Commerce",1350000.0,Undisclosed
2018,HalaPlay Technologies,Bangalore,"Digital Entertainment, Fantasy Sports, Sports",1350000.0,Series A
2018,PlanetSpark,Gurgaon,"E-Learning, EdTech, Education",1350000.0,Seed
2018,WheelsEMI,Pune,Unknown,1350000.0,Series B
2018,Forum for Innovation Incubation Research and Entrepreneurship,Margão,"Funding Platform, Incubators, Non Profit",1350000.0,Grant
2018,OYO,Gurgaon,"Hospitality, Hotel, Leisure, Travel",1350000.0,Series E
2018,Quikr,Bangalore,"Classifieds, Internet, Marketplace, Rental Property",1350000.0,Debt
2018,Tabono,Gurgaon,Sports,1350000.0,Seed
2018,LearnApp,Noida,"Banking, E-Learning, Trading Platform",1350000.0,Seed
2018,Shopkirana,Indore,"E-Commerce, Mobile, Retail",1350000.0,Undisclosed
2018,Fric Bergen,Alwar,Unknown,1350000.0,Undisclosed
2018,Articbot,Kannur,"Artificial Intelligence, Information Technology",1350000.0,Grant
2018,BuildSupply,Gurgaon,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",1350000.0,Series A
2018,Fusion Microfinance,New Delhi,"Banking, Finance, Financial Services",1350000.0,Series E
2018,Any time Doctor,Chennai,Software,1350000.0,Angel
2018,Go Payments,Mumbai,"Information Services, Information Technology",1350000.0,Corporate Round
2018,Guiddoo World,Mumbai,"Audio, Mobile, Tourism, Travel",1350000.0,Seed
2018,ION Energy,Mumbai,"Energy, Energy Storage, Infrastructure",1350000.0,Undisclosed
2018,UnoTag,Bangalore,Artificial Intelligence,1350000.0,Pre-seed
2018,CivilCops,Gurgaon,"Government, Information Technology, Software",1350000.0,Pre-seed
2018,Rockmetric,Mumbai,Information Technology,1350000.0,Grant
2018,Classworks India,Chennai,"Education, Information Technology, Internet, Mobile, Software",1350000.0,Undisclosed
2018,Snapmint,Mumbai,"Consumer Lending, Financial Services, Lending, Personal Finance",1350000.0,Seed
2018,artbandhu,Bangalore,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",1350000.0,Pre-seed
2018,Survaider,Bangalore,"Business Intelligence, Customer Service, Market Research, SaaS",500000.0,Seed
2018,Credy,Bangalore,"Credit, Financial Services, FinTech, Lending",1400000.0,Seed
2018,iChamp,Gurgaon,E-Learning,5000000.0,Seed
2018,Qandle,Gurgaon,Software,1200000.0,Seed
2018,Avishkaar Box,Delhi,"Children, Education, Parenting",1350000.0,Seed
2018,Gegadyne Energy,Mumbai,"Automotive, Battery, Energy, Energy Storage",1350000.0,Angel
2018,HyperXchange,Pune,"E-Commerce, Mobile, Sharing Economy",1000000.0,Series A
2018,Deftouch,Bangalore,Unknown,1350000.0,Seed
2018,Doodhwala,Bangalore,"Food Delivery, Organic, Organic Food",2200000.0,Seed
2018,DronaHQ,Mumbai,Mobile,500000.0,Angel
2018,FastFox,Gurgaon,Rental,1350000.0,Series A
2018,BuyForexOnline,Bangalore,Travel,2000000.0,Undisclosed
2018,Colive.in,Bangalore,Consumer,1800000.0,Seed
2018,Agricxlab Private Limited,Thane,"B2B, Farming, Marketplace",500000.0,Seed
2018,Corefactors,Bangalore,Unknown,1350000.0,Seed
2018,Fincash.com,Mumbai,Wealth Management,150000.0,Seed
2018,Pandorum Technologies,Bangalore,Biotechnology,3600000.0,Series A
2018,Shirsa Labs,Mumbai,"Education, Gaming, Training",500000.0,Seed
2018,PetSutra,Gurgaon,Veterinary,1350000.0,Seed
2018,Awaaz De,Ahmedabad,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",1350000.0,Angel
2018,PinkBlue,Bangalore,"Health Care, Hospital, Supply Chain Management",300000.0,Seed
2018,Eduvanz,Mumbai,"Finance, Financial Services",500000.0,Angel
2018,Rupeek,Bangalore,"Financial Services, Lending",6830000.0,Series A
2018,Backpacker Panda Holidays Private Limited,Pune,"Tourism, Travel",1400000.0,Series A
2018,Shape (School Health and Physical Education),Pune,Education,200000.0,Seed
2018,Placio,Noida,"Hospitality, Real Estate",2000000.0,Seed
2018,Aviom India Housing Finance,New Delhi,Finance,1350000.0,Series A
2018,GenRobotic,Trivandrum,Market Research,1350000.0,Seed
2018,HeyHolidays,Bangalore,"Tourism, Travel",1000000.0,Seed
2018,Pratilipi,Bangalore,"Digital Media, EBooks, Publishing, Reading Apps",4300000.0,Series A
2018,SectorQube,Ernakulam,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",1350000.0,Seed
2018,Food Memories,Ahmedabad,"Food and Beverage, Food Processing",1350000.0,Seed
2018,ZAMROO,India,"Internet, Marketplace, Shopping",1350000.0,Seed
2018,Silversparro Technologies Pvt. Ltd,Gurgaon,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",300000.0,Seed
2018,Creator’s Gurukul,Gurgaon,Facilities Support Services,1350000.0,Angel
2018,Emflux Motors,Bangalore,"Automotive, Electric Vehicle, Energy",364846.0,Seed
2018,Tricog Health Services Pvt Ltd,Bangalore,"Health Care, Health Diagnostics, Predictive Analytics",4000000.0,Series A
2018,Scapic,Bangalore,"Cloud Computing, Computer, SaaS, Software",500000.0,Seed
2018,6Degree,Mumbai,"Fashion, Lifestyle, Retail",400000.0,Seed
2018,Chrysalis (EZ Vidya),Chennai,Education,1350000.0,Seed
2018,Ekincare,Hyderabad,Medical,1500000.0,Series A
2018,Streo,Gurgaon,Music Streaming,1350000.0,Seed
2018,Groww,Kormangala,"Finance, Impact Investing, Internet",120000.0,Seed
2018,Cell Propulsion,Bangalore,Unknown,1350000.0,Seed
2018,Chezuba,Hyderabad,"Internet, Social Entrepreneurship",1350000.0,Angel
2018,Ontrack Technologies Pvt. Ltd,Bangalore,Retail,1350000.0,Seed
2018,Wealthtrust,Mumbai,"Finance, Impact Investing, Mobile Apps",500000.0,Seed
2018,Faclon Labs,Mumbai,"Cloud Computing, Computer, Software",1350000.0,Seed
2018,Awign Enterprises,Bangalore,"Business Development, Market Research, Outsourcing",1350000.0,Seed
2018,CollPoll,Bangalore,Education,1350000.0,Seed
2018,Zyla Health,New Delhi,"Health Care, Hospitality",1350000.0,Seed
2018,Hubhopper,Delhi,"Internet, Social News, Sports",500000.0,Series A
2018,Rubix108 Technologies,Pune,Information Technology,1000000.0,Seed
2018,Workflexi,Bangalore,Human Resources,1350000.0,Seed
2018,Streak,Bangalore,Financial Services,1350000.0,Seed
2018,Kuants,Gurgaon,Financial Services,1350000.0,Seed
2018,NiYO Solutions,Bangalore,"Finance, Financial Services, FinTech",13200000.0,Series A
2018,Hippo Video,Chennai,"Customer Service, Software, Video, Video Streaming",1350000.0,Seed
2018,Satvacart,Gurgaon,"E-Commerce, Food Processing",1350000.0,Seed
2018,Daaki,Bangalore,Health Care,1350000.0,Angel
2018,Simulanis,New Delhi,Training,500000.0,Seed
2018,MY CHIRAAG CAB,Jaipur,Travel,1000000.0,Seed
2018,WOTU,Bangalore,Food and Beverage,1350000.0,Seed
2018,Flathalt,Gurgaon,Unknown,50000.0,Angel
2018,True Elements,Pune,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",1350000.0,Seed
2018,Trendlyne Technologies,Bangalore,Financial Services,200000.0,Seed
2018,Planys Technologies,Chennai,"Manufacturing, Oil and Gas, Robotics",1350000.0,Series A
2018,HealthPlix,Bangalore,"Fitness, Health Care, Wellness",3000000.0,Series A
2018,dishq,Bangalore,Unknown,400000.0,Seed
2018,Entropik Technology,Bangalore,"Artificial Intelligence, Computer, Machine Learning",1100000.0,Seed
2018,myHQ,Delhi,"Collaboration, Communities, Coworking, Sharing Economy",500000.0,Series A
2018,Trell,Bangalore,Unknown,1250000.0,Seed
2018,Kidovators (by GyanLab),Bangalore,"Big Data, EdTech, Machine Learning",180000.0,Seed
2018,Log 9 Materials,Uttar Pradesh,Nanotechnology,1350000.0,Seed
2018,VTION,Gurgaon,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",1350000.0,Seed
2018,HousingMan.com,Bangalore,Unknown,1350000.0,Seed
2018,Steradian Semiconductors,Bangalore,Unknown,1350000.0,Seed
2018,RupeeCircle,Mumbai,"Financial Services, Lending, Peer to Peer",1350000.0,Seed
2018,Wooden Street,Jaipur,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",1000000.0,Series A
2018,The Ken,Bangalore,Digital Media,1500000.0,Series A
2018,SaffronStays,Mumbai,Unknown,2000000.0,Seed
2018,Vebbler,Bangalore,"File Sharing, Personalization, Social Media",1350000.0,Seed
2018,Foyr,Pune,"Home Decor, Interior Design",4200000.0,Series A
2018,MEngage,Jaipur,"Health Care, Medical Device, Mobile Apps",175000.0,Seed
2018,Inner Being Wellness,Hyderabad,Unknown,1350000.0,Angel
2018,Kobster,Chennai,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",1350000.0,Seed
2018,Wishberry,Mumbai,"Crowdfunding, Finance, Financial Services",1350000.0,Series A
2018,McXtra,Andheri,"Finance, Financial Services, Insurance",1300000.0,Seed
2018,Magic Crate,Bangalore,"Children, Education, Online Portals",1350000.0,Seed
2018,SmartVizX,Noida,"Software, Virtual Reality",1450000.0,Seed
2018,MySEODoc,Delhi,Unknown,1350000.0,Seed
2018,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Pune,Unknown,1350000.0,Seed
2018,Scale Labs,Delhi,Unknown,1000000.0,Seed
2018,HungerBox,Bangalore,"B2B, Food and Beverage, Food Delivery",4500000.0,Series A
2018,Biryani By Kilo,Noida,"Catering, Food and Beverage, Food Delivery, Food Processing",1000000.0,Seed
2018,Wholesome Habits (EAT Anytime),Mumbai,"Food and Beverage, Snack Food",500000.0,Seed
2018,GoBumpr,Mylapore,"Automotive, E-Commerce, Mobile",600000.0,Seed
2018,Fixpocket,Ahmedabad,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",250000.0,Seed
2018,edureka!,Bangalore,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",2000000.0,Series A
2018,Hashtag Loyalty Private Limited,Mumbai,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",1350000.0,Seed
2018,Wow Express,Mumbai,"Delivery, Information Technology, Mobile Apps",4500000.0,Series A
2018,ZunRoof,Gurgaon,"Environmental Consulting, Renewable Energy",1350000.0,Angel
2018,Eggoz,Indore,"Food and Beverage, Food Processing",1350000.0,Angel
2018,Sqrrl Fintech,Gurgaon,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",1000000.0,Seed
2018,GalaxyCard,Noida,"Finance, Financial Services, FinTech",1350000.0,Seed
2018,IndiQube,Bangalore,"Commercial Real Estate, Coworking, Office Administration, Real Estate",15000000.0,Series A
2018,EGK Foods,Mumbai,"Food and Beverage, Food Processing, Organic Food, Snack Food",1350000.0,Seed
2018,NirogStreet,Gurgaon,"Apps, Health Care, Internet, Mobile Apps, Personal Health",300000.0,Seed
2018,Pixr8,Ghaziabad,"Digital Media, Incubators, Social Entrepreneurship",50000.0,Seed
2018,Nivesh.com,Noida,"Finance, Financial Services, Marketing",1350000.0,Seed
2018,Theranosis Life Sciences,Hyderabad,"Biotechnology, Health Care, Life Science, Medical Device",1350000.0,Seed
2018,Poshmiles Online Solutions Private Limited,Bangalore,Travel,1350000.0,Seed
2018,Reculta,Noida,"Education, Human Resources",1350000.0,Seed
2018,Orbo.ai,Mumbai,Internet,1350000.0,Seed
2018,Inntot Technologies,Kochi,Consumer Electronics,1350000.0,Seed
2018,Zoctr Health,Powai,"Apps, Health Care, Hospital, Mobile Apps",1350000.0,Seed
2018,Hey Deedee,Mumbai,"Delivery Service, Logistics, Service Industry",1350000.0,Seed
2018,DigiConnectt Technologys,Bangalore,"Information Services, Information Technology",125000.0,Seed
2018,Locus.sh,Bangalore,"Big Data, Data Visualization, Logistics, Software",4000000.0,Series A
2018,Sports Flashes Pvt. Ltd,New Delhi,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",1000000.0,Seed
2018,Inc42,New Delhi,"Media and Entertainment, News, Publishing",1350000.0,Seed
2018,Picxy,Guntur,Internet,130000.0,Seed
2018,Huddle,Haryana,Consulting,300000.0,Seed
2018,Benepik,Gurgaon,Human Resources,1350000.0,Seed
2018,Cash Suvidha,New Delhi,Finance,1000000.0,Seed
2018,Smartcoin,Bangalore,"Big Data, Financial Services, Machine Learning, Predictive Analytics",2000000.0,Seed
2018,Carmel Organics,Indore,"Agriculture, AgTech, Manufacturing",1350000.0,Series A
2018,Roadcast,New Delhi,Unknown,250000.0,Angel
2018,Printline Media(ThePrint),New Delhi,"Digital Media, News, Publishing",1350000.0,Seed
2018,Creditas Solutions,Gurgaon,Financial Services,1350000.0,Seed
2018,UrbanPiper,Bangalore,Software,1350000.0,Seed
2018,Doxper,Mumbai,"Health Care, Hospital",1350000.0,Seed
2018,i2ifunding,Noida,"Crowdfunding, Finance, Financial Services",1350000.0,Angel
2018,ShakeDeal,Bangalore,"B2B, E-Commerce, Enterprise",1350000.0,Seed
2018,HelloVerify,Noida,"Fraud Detection, Information Services, Security",1350000.0,Seed
2018,Fasal,Bangalore,"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",120000.0,Seed
2018,CoinGeto,Delhi,"Cryptocurrency, Trading Platform",1350000.0,Seed
2018,Avail Finance,Bangalore,"Finance, FinTech, Mobile Payments",17200000.0,Series A
2018,Tripeur,Bangalore,Information Technology,600000.0,Seed
2018,Wedeterna,Bangalore,Wedding,1350000.0,Angel
2018,Stumagz,Hyderabad,Digital Media,1350000.0,Seed
2018,Doubtnut,Gurgaon,"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",1350000.0,Seed
2018,MCaffeine,Mumbai,Consumer Goods,1350000.0,Seed
2018,TrustCheckr,Bangalore,Information Technology,100000.0,Angel
2018,HealthAssure,Mumbai,"Fitness, Health Care, Wellness",1000000.0,Seed
2018,Picture TIme,New Delhi,Digital Entertainment,1350000.0,Seed
2018,1Crowd,Mumbai,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital",3500000.0,Angel
2018,Aarav Unmanned Systems,Bangalore,"Delivery, Drones, Geospatial, Robotics",1350000.0,Seed
2018,Wellthy Therapeutics Pvt Ltd,Mumbai,"Health Care, Hospital",1350000.0,Seed
2018,Nua,Mumbai,Consumer Goods,1350000.0,Seed
2018,Kuvera.in,Bangalore,Financial Services,250000.0,Angel
2018,Livehealth,Pune,"Health Care, Information Technology, Management Information Systems",1100000.0,Seed
2018,Gramophone,Indore,Farming,1000000.0,Seed
2018,Ora,Kolkata,"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",1350000.0,Seed
2018,Buddy4Study.com,Noida,"Career Planning, Education, Higher Education, Service Industry",3000000.0,Series A
2018,Predible Health,Bangalore,Medical Device,1350000.0,Seed
2018,Syncremedies Healthcare Pvt Ltd,Bangalore,"Alternative Medicine, Health Care",1350000.0,Seed
2018,Blueleaf Cyberspace Systems,Bangalore,"Internet, Software",1350000.0,Seed
2018,Toffee,Gurgaon,Unknown,1500000.0,Seed
2018,ORO Wealth,Mumbai,Unknown,1600000.0,Series A
2018,HealWell24,Mumbai,"Dental, Elder Care, Health Care, Home Health Care, Personal Health",200000.0,Seed
2018,Acko General Insurance,Mumbai,"Financial Services, Insurance, Private Social Networking",12000000.0,Series A
